City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Tateyama,JP,34.9833,139.8667,76.1,94,75,9.22,light intensity shower rain
221,Nuuk,GL,64.1835,-51.7216,45.21,93,75,17.27,light intensity drizzle rain
222,Kamenka,RU,51.3223,42.7678,57.04,78,60,5.5,broken clouds
223,Cherskiy,RU,68.75,161.3,63.79,49,90,15.12,overcast clouds
224,Yellowknife,CA,62.456,-114.3525,68.56,40,20,10.36,smoke
225,Ulaangom,MN,49.9811,92.0667,56.91,40,64,2.04,broken clouds
226,Chandbali,IN,20.7833,86.7667,82.87,82,93,3.31,overcast clouds
227,Necochea,AR,-38.5473,-58.7368,49.89,48,3,8.23,clear sky
228,Morondava,MG,-20.2833,44.2833,68.29,69,0,11.97,clear sky
229,Panama City,PA,8.9936,-79.5197,87.93,75,40,3.44,scattered clouds
230,Ilo,PE,-17.6394,-71.3375,63.46,72,40,9.22,scattered clouds
231,Bernay,FR,49.1667,0.6667,57.11,75,9,7.58,clear sky
232,Port Said,EG,31.2565,32.2841,80.15,70,0,3.65,clear sky
233,Narsaq,GL,60.9167,-46.05,50.22,97,100,4.59,light rain
234,Goundam,ML,16.4145,-3.6708,100.65,20,6,3.89,clear sky
235,New Norfolk,AU,-42.7826,147.0587,42.71,87,13,3.44,few clouds
236,Banda Aceh,ID,5.5577,95.3222,80.19,73,100,13.51,overcast clouds
237,Alcaniz,ES,41.05,-0.1333,78.91,49,0,10.89,light rain
238,Yeppoon,AU,-23.1333,150.7333,51.58,95,100,5.06,heavy intensity rain
239,Olavarria,AR,-36.8927,-60.3225,47.66,39,13,3.31,few clouds
240,Saint-Louis,SN,16.3333,-15.0,96.44,32,42,4.9,light rain
241,Maniitsoq,GL,65.4167,-52.9,42.03,95,100,12.57,overcast clouds
242,Okha,RU,53.5739,142.9478,61.57,70,79,10.8,broken clouds
243,Sabang,ID,5.8933,95.3214,82.81,71,100,22.57,overcast clouds
244,Turukhansk,RU,65.8167,87.9833,49.98,73,100,7.09,overcast clouds
245,Te Anau,NZ,-45.4167,167.7167,44.73,86,80,6.53,broken clouds
246,Nanortalik,GL,60.1432,-45.2371,46.24,86,52,20.29,broken clouds
247,Muli,MV,2.9167,73.5667,83.5,72,86,12.44,light rain
248,Norman Wells,CA,65.282,-126.8329,80.64,36,20,18.41,few clouds
249,Constitucion,CL,-35.3333,-72.4167,52.75,76,0,2.64,clear sky
250,San Policarpo,PH,12.1791,125.5072,76.91,83,100,3.78,overcast clouds
251,Mendoza,AR,-32.8908,-68.8272,60.33,31,0,4.61,clear sky
252,Grindavik,IS,63.8424,-22.4338,49.95,76,75,5.75,broken clouds
253,Armeria,MX,18.9333,-103.9667,86.99,72,100,8.81,overcast clouds
254,Port Pirie,AU,-33.1833,138.0167,42.15,89,0,5.93,clear sky
255,Abalak,RU,58.1286,68.5944,51.46,77,91,11.36,overcast clouds
256,Sipe Sipe,BO,-17.45,-66.3833,73.89,23,76,9.46,broken clouds
257,Dikson,RU,73.5069,80.5464,34.09,98,95,5.7,light snow
258,Itoman,JP,26.1247,127.6694,80.62,94,40,5.75,scattered clouds
259,Casablanca,MA,33.5928,-7.6192,70.02,80,10,7.85,clear sky
260,Aklavik,CA,68.2191,-135.0107,82.4,51,40,5.75,smoke
261,Show Low,US,34.2542,-110.0298,82.69,37,0,14.97,clear sky
262,Mehamn,NO,71.0357,27.8492,48.15,93,40,2.3,scattered clouds
263,Tabou,CI,4.423,-7.3528,76.59,78,100,7.61,overcast clouds
264,Ballina,AU,-28.8667,153.5667,50.02,99,100,6.96,moderate rain
265,Juterbog,DE,51.9833,13.0833,64.62,63,1,0.27,clear sky
266,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.76,71,20,26.46,few clouds
267,Nisia Floresta,BR,-6.0911,-35.2086,77.38,91,80,8.03,broken clouds
268,Naze,JP,28.3667,129.4833,76.12,87,98,11.1,overcast clouds
269,Pangnirtung,CA,66.1451,-65.7125,51.8,71,75,10.36,broken clouds
270,Qasigiannguit,GL,68.8193,-51.1922,53.85,62,36,3.71,scattered clouds
271,Marystown,CA,47.1666,-55.1483,59.41,75,20,16.73,few clouds
272,Vila,PT,42.0304,-8.1588,61.68,94,61,4.92,broken clouds
273,Goure,NE,13.9835,10.2704,85.01,37,54,6.6,broken clouds
274,Vila Velha,BR,-20.3297,-40.2925,73.35,87,75,4.61,broken clouds
275,Polewali,ID,-3.4324,119.3435,74.77,92,42,2.95,scattered clouds
276,Rakiv Lis,UA,51.6217,24.9243,65.03,76,27,4.81,scattered clouds
277,Loknya,RU,56.83,30.1467,61.84,97,69,4.36,moderate rain
278,Ancud,CL,-41.8697,-73.8203,48.22,92,100,26.19,moderate rain
279,Koungheul,SN,13.9833,-14.8,88.02,56,94,12.35,overcast clouds
280,Surt,LY,31.2089,16.5887,80.06,81,0,11.43,clear sky
281,Severo-Kurilsk,RU,50.6789,156.125,51.57,84,100,12.64,overcast clouds
282,Arshan,RU,46.2732,44.22,73.78,31,5,11.18,clear sky
283,Bilibino,RU,68.0546,166.4372,58.6,58,86,4.94,overcast clouds
284,Codrington,AU,-38.2667,141.9667,47.61,88,4,7.25,clear sky
285,Gorlice,PL,49.6556,21.1604,69.28,57,87,1.14,overcast clouds
286,Longyearbyen,SJ,78.2186,15.6401,42.64,93,75,11.5,light rain
287,Matay,EG,28.419,30.7792,89.17,24,0,9.84,clear sky
288,Kalat,PK,29.0225,66.5916,72.75,69,100,2.8,light rain
289,Capreol,CA,46.706,-80.9225,73.87,49,100,9.22,overcast clouds
