City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Rio Tuba,PH,81.63,overcast clouds,8.5061,117.4317,Triple J Lodging House
368,Gigmoto,PH,79.07,overcast clouds,13.7796,124.39,Cj's Travellers Inn
371,Madang,PG,75.15,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
376,Axim,GH,76.59,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
377,Kui Buri,TH,78.84,overcast clouds,12.0828,99.8543,Rista House & Resort
378,Forio,IT,84.52,clear sky,40.7342,13.8646,Hotel Terme Providence
389,Samarai,PG,81.25,broken clouds,-10.6167,150.6667,Nuli Sapi
392,Cururupu,BR,75.7,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
393,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
398,Garowe,SO,78.42,few clouds,8.4054,48.4845,Curubo Hotel
401,Bandundu,CD,80.78,clear sky,-3.3167,17.3667,Coja Color
406,Luganville,VU,79.02,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
410,Maragogi,BR,75.09,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
415,High Rock,BS,84.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
416,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
422,Barra Do Garcas,BR,82.98,clear sky,-15.89,-52.2567,Pousada Tropical
426,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
429,Cabatuan,PH,76.8,overcast clouds,10.8794,122.486,MVC Transient Room
431,Broome,US,84.6,broken clouds,42.2506,-75.833,Chenango Valley State Park
433,Timmins,CA,76.82,broken clouds,48.4669,-81.3331,The Senator Hotel & Conference Centre
439,Smithers,CA,77.32,broken clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
441,Jacareacanga,BR,80.74,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
444,Nara,JP,76.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
449,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
458,Jiazi,CN,79.74,overcast clouds,22.8779,116.067,Hotel Jin Hao
459,Korla,CN,82.31,clear sky,41.7597,86.1469,Gulisitan Hotel
463,Ganzhou,CN,78.15,moderate rain,28.8184,115.4327,Zhanqian Grand Hotel
471,Saint Anthony,US,82.85,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
474,Kavieng,PG,81.93,light rain,-2.5744,150.7967,Nusa Island Retreat
475,Trincomalee,LK,81.63,overcast clouds,8.5711,81.2335,Welcombe Hotel
476,Santa Barbara,US,75.9,clear sky,34.7333,-120.0343,Upper Ballard Campground
477,Huilong,CN,79.93,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
480,Vanimo,PG,77.45,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
483,Half Moon Bay,US,83.88,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
484,Takoradi,GH,75.38,light rain,4.8845,-1.7554,Raybow International Hotel
486,Caldwell,US,80.64,clear sky,43.6629,-116.6874,La Quinta Inn by Wyndham Caldwell
488,Padang,ID,76.73,overcast clouds,-0.9492,100.3543,Mercure Padang
489,La Macarena,CO,78.57,broken clouds,2.1837,-73.7849,Casa Hotel Real
490,Qui Nhon,VN,80.82,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
493,Myitkyina,MM,75.76,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
497,Aksu,CN,82.81,clear sky,41.1231,80.2644,Pudong Holiday Hotel
498,Kushima,JP,77.63,moderate rain,31.4583,131.2333,Hanaoka
500,Wilmington,US,84.11,broken clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
504,Touros,BR,76.12,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
505,Port Blair,IN,77.04,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
